id,name,serving_wt,kcal,carbo,protein,fat,company
46,국수,100.0,374.0,78.4,10.6,0.2, 
47,국수,100.0,374.0,74,10.31,1.3, 
48,"국수,삶은것",100.0,124.0,24.3,4.6,0.4, 
49,"국수,삶은것",100.0,126.0,24.87,3.49,0.41, 
50,"소면,건면",100.0,358.0,76.1,8.9,0.3, 
51,"소면,건면",100.0,378.0,74.86,10.36,1.27, 
52,"소면,건면,삶은것",100.0,137.0,29,3.2,0.2, 
53,"소면,건면,삶은것",100.0,128.0,25.31,3.55,0.48, 
54,"라면,건면",100.0,445.0,71.2,7.5,13.9, 
55,"라면,건면",100.0,452.0,69.05,8.23,14.28, 
56,"라면,조리",100.0,103.0,18.5,2.2,2, 
57,"라면,조리",100.0,101.0,18.5,2.2,2, 
58,진라면매운맛,100.0,421.0,65,8.3,14.2, 
